id,title,company,city,salary,education,experience,job_type,skills,benefits,description,requirements,publish_date,contact_person,phone,email,address,source,status,views,applications
1415,家庭护理员,健康产业公司888,太原,25000-30000元/月,本科,3-5年,兼职,耐心细心、身体健康、生活护理、心理护理、有爱心、药物管理、伤口护理,意外保险、生日福利,需要家庭护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：50岁以下；学历要求：初中；技能要求：药物管理、吸痰护理、沟通技巧；工作经验：10年以上,2025-09-06,周秀芳,13216987469,qianglong@example.com,四川省琳市华龙胡街W座 206937,拉勾网,招聘中,576,2
1416,居家护理员,医疗科技公司781,贵阳,5000-6000元/月,本科,3-5年,全职,翻身护理、有爱心、无传染病,五险一金、年终奖,为居家护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：中专；工作经验：不限；年龄要求：47岁以下；技能要求：吸痰护理、有爱心、体位护理、导尿护理、鼻饲护理、生活护理、身体健康；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-26,石帆,15616480160,utang@example.com,湖北省鑫县平山沈阳路C座 764356,51job,已结束,585,1
1417,护理师,护理站181,上海,8000-10000元/月,护理专业优先,不限,短期,翻身护理、吃苦耐劳、安全防护、身体健康、血压测量、体位护理、伤口护理,健康体检、餐补,招聘护理师，工作地点在上海，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：38岁以下；工作经验：10年以上；学历要求：本科；技能要求：沟通技巧、伤口护理、心理护理、康复护理、安全防护、医疗护理、无传染病、药物管理；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：男,2025-09-13,张琴,18019178766,gang75@example.org,重庆市宁市新城贾街b座 203668,Boss直聘,招聘中,810,33
1418,残疾人护理员,健康管理公司848,兰州,20000-25000元/月,高中,10年以上,白班,按摩技能、营养配餐、药物管理、有爱心、心理护理、吃苦耐劳、耐心细心、医疗护理,包吃包住、健康体检,在健康管理公司848担任残疾人护理员，负责日常护理工作，具备良好的沟通能力和责任心。,性别要求：女；学历要求：本科；工作经验：不限；年龄要求：57岁以下,2025-08-30,刘秀英,18680169118,yiming@example.org,重庆市淮安县西夏沈阳街x座 625087,猎聘网,已结束,927,18
1419,护理师,健康产业公司556,成都,2000-3000元/月,高中,10年以上,短期,耐心细心、无传染病、药物管理、按摩技能、翻身护理、体位护理、沟通技巧、导尿护理,包吃包住、绩效奖金,招聘护理师，工作地点在成都，要求身体健康，有爱心，能吃苦耐劳。,性别要求：不限；年龄要求：46岁以下；学历要求：不限,2025-08-29,唐勇,15953867598,weichen@example.net,内蒙古自治区宇县闵行马鞍山街g座 598255,拉勾网,已暂停,164,7
1420,养老护理员,医疗科技公司841,昆明,21407元/月,中专,3-5年,长期,基础护理、无传染病、心理护理,健康体检、培训机会、节日福利、意外保险、五险一金、绩效奖金,为养老护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,技能要求：吸痰护理、医疗护理、责任心强、安全防护、血压测量；年龄要求：54岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女；学历要求：高中,2025-09-14,董秀华,18725159066,qliu@example.com,安徽省太原市清浦仇街X座 977722,51job,招聘中,356,25
1421,高级护理员,康复中心469,太原,16806元/月,护理专业优先,3-5年,临时,血压测量、医疗护理、急救技能、血糖监测、伤口护理、鼻饲护理,年终奖、意外保险、住宿补贴、健康体检,为高级护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：不限；工作经验：5-10年；技能要求：基础护理、沟通技巧、康复护理,2025-08-23,陈波,14760857406,mxiao@example.net,江西省欢市合川海口路U座 110293,猎聘网,已暂停,895,13
1422,术后护理员,康复中心626,贵阳,27485元/月,高中,1-3年,白班,营养配餐、心理护理、鼻饲护理、责任心强、耐心细心、无传染病、急救技能,五险一金、带薪年假、晋升空间、加班费、住宿补贴、绩效奖金,为术后护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,工作经验：5-10年；年龄要求：20岁以下；性别要求：男；技能要求：医疗护理、安全防护、生活护理、血压测量、康复护理、有爱心；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：中专,2025-09-16,郎雪,13645182243,hyin@example.org,陕西省涛县东城白街H座 232539,智联招聘,已结束,834,6
1423,残疾人护理员,健康产业公司9,大连,12000-15000元/月,高中,1年以下,长期,有爱心、翻身护理、药物管理、生活护理、康复护理、伤口护理,意外保险、晋升空间、交通补贴、住宿补贴,招聘残疾人护理员，工作地点在大连，要求身体健康，有爱心，能吃苦耐劳。,性别要求：不限；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：有爱心、营养配餐、生活护理；学历要求：不限；年龄要求：32岁以下；工作经验：3-5年,2025-09-01,郑帅,18910508143,qiangzheng@example.net,内蒙古自治区楠县南湖赵街I座 735239,猎聘网,已结束,574,19
1424,护工,社区卫生服务中心36,哈尔滨,20000-25000元/月,初中,1年以下,夜班,按摩技能、身体健康、营养配餐、有爱心、吸痰护理、药物管理,健康体检、带薪年假、晋升空间、包吃包住、绩效奖金、住宿补贴,在社区卫生服务中心36担任护工，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：初中；年龄要求：42岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女,2025-09-01,匡辉,15847223028,qxia@example.net,吉林省雷县怀柔林路h座 387772,拉勾网,已暂停,63,15
1425,医院护理员,护理站244,呼和浩特,13760元/月,高中,10年以上,夜班,无传染病、责任心强、体位护理,培训机会、年终奖、带薪年假,在护理站244担任医院护理员，负责日常护理工作，具备良好的沟通能力和责任心。,年龄要求：60岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：5-10年,2025-09-03,萧俊,14569060485,juan17@example.org,吉林省荆门县萧山香港街s座 566457,智联招聘,已结束,435,20
1426,医院护理员,社区卫生服务中心11,福州,24504元/月,初中,不限,临时,生活护理、身体健康、有爱心、耐心细心、沟通技巧、医疗护理、吸痰护理,五险一金、绩效奖金,在社区卫生服务中心11担任医院护理员，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：大专；工作经验：5-10年；技能要求：血糖监测、体位护理、急救技能、伤口护理、血压测量、营养配餐；年龄要求：31岁以下,2025-08-20,覃俊,13840350831,yan33@example.com,安徽省深圳市怀柔赵街e座 930961,智联招聘,招聘中,887,10
1427,病患护理员,医疗护理公司997,武汉,5000-6000元/月,高中,10年以上,长期,身体健康、体位护理、血压测量,年终奖、住宿补贴、绩效奖金、生日福利、培训机会、五险一金,招聘病患护理员，工作地点在武汉，要求身体健康，有爱心，能吃苦耐劳。,技能要求：安全防护、翻身护理、生活护理、药物管理、责任心强、急救技能、吸痰护理；学历要求：初中；工作经验：不限,2025-08-30,陈军,18660552450,guiying39@example.com,台湾省桂花市平山孙街B座 656622,Boss直聘,招聘中,604,4
1428,术后护理员,护理站652,青岛,20000-25000元/月,本科,5-10年,短期,有爱心、耐心细心、沟通技巧,五险一金、带薪年假、住宿补贴、健康体检、意外保险、加班费,在护理站652担任术后护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：按摩技能、无传染病、营养配餐、血压测量、耐心细心；年龄要求：30岁以下；性别要求：不限；学历要求：高中；工作经验：不限；其他要求：身体健康，无传染病史，有爱心和责任心,2025-09-04,王欣,18500220000,shou@example.org,湖南省呼和浩特县滨城合山街Y座 818327,拉勾网,已结束,860,20
1429,高级护理员,医疗护理公司860,太原,3000-4000元/月,本科,10年以上,白班,血压测量、体位护理、按摩技能、营养配餐,加班费、培训机会、生日福利、餐补、带薪年假、包吃包住,需要高级护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：女；学历要求：大专；年龄要求：41岁以下,2025-08-21,宋凤英,13724340142,min83@example.net,江西省巢湖市花溪武汉路e座 919514,拉勾网,招聘中,668,10
1430,重症护理员,医疗科技公司78,广州,6000-8000元/月,不限,1年以下,全职,吃苦耐劳、伤口护理、沟通技巧、导尿护理、无传染病、医疗护理、吸痰护理、安全防护,年终奖、节日福利、培训机会、生日福利、住宿补贴,需要重症护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：男；学历要求：大专；技能要求：血糖监测、营养配餐、血压测量；年龄要求：60岁以下；工作经验：5-10年,2025-09-16,汪欣,13788171938,wei02@example.net,上海市海燕市徐汇关街j座 777485,Boss直聘,已结束,256,22
1431,养老护理员,社区卫生服务中心720,成都,4000-5000元/月,大专,1-3年,长期,康复护理、吸痰护理、药物管理、生活护理、基础护理、责任心强,餐补、五险一金、年终奖、生日福利,招聘养老护理员，工作地点在成都，要求身体健康，有爱心，能吃苦耐劳。,学历要求：本科；性别要求：男；技能要求：吸痰护理、基础护理、伤口护理、有爱心、生活护理、医疗护理、沟通技巧、无传染病；年龄要求：36岁以下,2025-09-05,刘鹏,18876017364,syi@example.net,山东省琴市闵行荆门路L座 492481,智联招聘,已暂停,798,20
1432,残疾人护理员,社区卫生服务中心162,天津,15000-20000元/月,高中,1-3年,夜班,鼻饲护理、心理护理、有爱心、营养配餐、医疗护理,健康体检、餐补、绩效奖金、培训机会,需要残疾人护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,技能要求：身体健康、营养配餐、急救技能；年龄要求：24岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：不限；性别要求：男；工作经验：1年以下,2025-08-24,罗金凤,13581287791,iqin@example.org,新疆维吾尔自治区海口市高港李路E座 667462,51job,已结束,856,26
1433,家庭护理员,康复中心694,兰州,8000-10000元/月,不限,10年以上,白班,康复护理、心理护理、责任心强、伤口护理,交通补贴、绩效奖金、住宿补贴、五险一金,在康复中心694担任家庭护理员，负责日常护理工作，具备良好的沟通能力和责任心。,性别要求：不限；学历要求：初中；工作经验：5-10年；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：41岁以下；技能要求：心理护理、血糖监测、有爱心、无传染病,2025-09-12,刘丽华,18158079161,oxue@example.com,澳门特别行政区桂芳市平山关岭路b座 397899,拉勾网,已结束,284,4
1434,养老护理员,医疗护理公司906,南京,11996元/月,高中,不限,实习,有爱心、安全防护、营养配餐、翻身护理、体位护理、身体健康,住宿补贴、包吃包住、带薪年假、交通补贴、节日福利、生日福利,负责养老护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：男；工作经验：3-5年；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：48岁以下；技能要求：无传染病、鼻饲护理、按摩技能、沟通技巧、吃苦耐劳、吸痰护理、安全防护、医疗护理,2025-09-03,徐海燕,14733589286,shifang@example.com,贵州省颖县华龙魏路m座 835026,拉勾网,已结束,892,36
1435,老年护理员,医疗护理公司958,呼和浩特,3000-4000元/月,大专,不限,长期,按摩技能、急救技能、身体健康、鼻饲护理、医疗护理、导尿护理、有爱心、血压测量,生日福利、餐补、交通补贴、加班费,在医疗护理公司958担任老年护理员，负责日常护理工作，具备良好的沟通能力和责任心。,学历要求：本科；技能要求：沟通技巧、按摩技能、药物管理、心理护理；年龄要求：40岁以下,2025-09-15,袁晶,15206114328,litian@example.org,宁夏回族自治区欣县南湖官街i座 937796,拉勾网,已暂停,915,44
1436,术后护理员,护理站17,武汉,3000-4000元/月,本科,5-10年,白班,耐心细心、急救技能、吸痰护理、身体健康、吃苦耐劳,交通补贴、住宿补贴、年终奖,在护理站17担任术后护理员，负责日常护理工作，具备良好的沟通能力和责任心。,技能要求：吃苦耐劳、药物管理、营养配餐、基础护理、伤口护理；工作经验：5-10年；学历要求：本科；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-29,覃林,13198553953,xiuyingsong@example.org,安徽省博市长寿周路g座 982760,智联招聘,已结束,116,11
1437,专业护理员,医疗集团180,常州,12000-15000元/月,护理专业优先,3-5年,白班,鼻饲护理、耐心细心、心理护理、医疗护理,节日福利、健康体检,招聘专业护理员，工作地点在常州，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：56岁以下；学历要求：高中；其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：女；技能要求：吸痰护理、责任心强、医疗护理、耐心细心；工作经验：5-10年,2025-08-24,贺超,15926431064,baifang@example.com,安徽省杰县蓟州潜江路n座 752289,猎聘网,已结束,517,16
1438,老年护理员,健康管理公司578,海口,6528元/月,高中,3-5年,长期,基础护理、鼻饲护理、吃苦耐劳、血压测量、翻身护理、心理护理、药物管理,健康体检、住宿补贴、加班费、生日福利,招聘老年护理员，工作地点在海口，要求身体健康，有爱心，能吃苦耐劳。,技能要求：血糖监测、生活护理、责任心强、血压测量、营养配餐；工作经验：1-3年；其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：41岁以下；学历要求：初中,2025-08-28,韩娜,13405663991,nhu@example.org,河南省春梅市大兴乌鲁木齐街u座 536391,51job,已结束,494,17
1439,医院护理员,养老服务公司668,石家庄,8000-10000元/月,高中,不限,实习,按摩技能、翻身护理、体位护理、吃苦耐劳,绩效奖金、住宿补贴、带薪年假、年终奖,为医院护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,技能要求：无传染病、心理护理、安全防护、身体健康；性别要求：男；学历要求：不限；工作经验：不限,2025-08-22,张桂香,13036173133,ashi@example.com,河北省杰县山亭通辽街m座 405276,51job,招聘中,756,13
1440,专业护理员,养老服务公司328,兰州,3000-4000元/月,护理专业优先,不限,兼职,无传染病、沟通技巧、生活护理、鼻饲护理,餐补、健康体检、五险一金、节日福利、加班费、年终奖,在养老服务公司328担任专业护理员，负责日常护理工作，具备良好的沟通能力和责任心。,性别要求：不限；年龄要求：50岁以下；工作经验：5-10年,2025-08-31,文帆,15318196174,jinlei@example.org,台湾省云市闵行巢湖路m座 605949,智联招聘,已暂停,638,4
1441,医院护理员,护理站99,济南,4000-5000元/月,中专,5-10年,夜班,吸痰护理、吃苦耐劳、血糖监测,包吃包住、带薪年假、年终奖、餐补,招聘医院护理员，工作地点在济南，要求身体健康，有爱心，能吃苦耐劳。,性别要求：男；年龄要求：56岁以下；学历要求：高中；工作经验：5-10年；技能要求：沟通技巧、基础护理、体位护理、安全防护、身体健康、医疗护理、导尿护理、伤口护理,2025-09-11,赵桂荣,18298252123,duanwei@example.org,上海市荆门市大兴阜新路X座 887664,51job,招聘中,634,49
1442,护理员,健康管理公司250,沈阳,15000-20000元/月,护理专业优先,1年以下,短期,体位护理、营养配餐、吸痰护理、生活护理、有爱心、责任心强、身体健康,包吃包住、健康体检,负责护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：本科；性别要求：不限；工作经验：1-3年；年龄要求：21岁以下；技能要求：营养配餐、体位护理、伤口护理、导尿护理、有爱心、身体健康、沟通技巧,2025-09-02,朱红梅,18940874154,liuxia@example.org,山东省建平县门头沟王街p座 645624,猎聘网,已暂停,971,12
1443,医院护理员,医疗科技公司612,西安,2000-3000元/月,初中,5-10年,全职,急救技能、伤口护理、沟通技巧、有爱心、营养配餐、体位护理,交通补贴、晋升空间、节日福利、意外保险,负责医院护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,学历要求：中专；年龄要求：31岁以下；性别要求：女；其他要求：身体健康，无传染病史，有爱心和责任心,2025-08-24,尧磊,13699826758,chengxia@example.com,广西壮族自治区海门县怀柔辽阳路o座 969690,拉勾网,招聘中,953,17
1444,家庭护理员,健康管理公司637,海口,24056元/月,中专,1-3年,白班,责任心强、按摩技能、心理护理、体位护理,绩效奖金、节日福利、五险一金、健康体检、生日福利、餐补,为家庭护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,性别要求：男；年龄要求：48岁以下；学历要求：中专,2025-08-24,易燕,18149594205,dmao@example.org,湖北省嘉禾市平山冉路h座 418422,猎聘网,已结束,700,43
1445,护工,康复中心536,沈阳,12000-15000元/月,不限,3-5年,兼职,伤口护理、医疗护理、耐心细心、血糖监测、翻身护理、身体健康,带薪年假、交通补贴、住宿补贴、培训机会,招聘护工，工作地点在沈阳，要求身体健康，有爱心，能吃苦耐劳。,工作经验：不限；年龄要求：55岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：不限；技能要求：翻身护理、血糖监测、沟通技巧、有爱心、导尿护理、医疗护理、康复护理；性别要求：男,2025-08-21,周超,13582512703,jing30@example.com,内蒙古自治区欢市沙市奚街w座 296267,拉勾网,已结束,712,7
1446,养老护理员,社区卫生服务中心334,长沙,20000-25000元/月,护理专业优先,10年以上,兼职,安全防护、康复护理、吸痰护理、吃苦耐劳、导尿护理、血糖监测、急救技能,生日福利、交通补贴、包吃包住、健康体检,招聘养老护理员，工作地点在长沙，要求身体健康，有爱心，能吃苦耐劳。,年龄要求：48岁以下；工作经验：1年以下；性别要求：男；学历要求：本科,2025-09-01,李兵,15790594054,junlong@example.net,宁夏回族自治区丽市清河王路x座 474312,Boss直聘,已结束,100,6
1447,康复护理员,养老院346,大连,20000-25000元/月,高中,5-10年,全职,沟通技巧、吸痰护理、鼻饲护理、康复护理、翻身护理、生活护理、伤口护理、按摩技能,生日福利、带薪年假、年终奖,负责康复护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：男；技能要求：安全防护、导尿护理、体位护理、沟通技巧、药物管理；年龄要求：31岁以下；工作经验：1年以下；学历要求：大专,2025-08-22,董荣,15565602462,fshao@example.net,香港特别行政区鑫市梁平吴路G座 624879,51job,招聘中,462,20
1448,康复护理员,护理站648,南京,25000-30000元/月,护理专业优先,1-3年,临时,急救技能、身体健康、吸痰护理,晋升空间、带薪年假、节日福利,需要康复护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,技能要求：身体健康、体位护理、导尿护理、伤口护理、翻身护理、无传染病、基础护理、沟通技巧；年龄要求：31岁以下；学历要求：高中,2025-08-21,熊旭,13219700098,kongjun@example.com,河南省磊市平山张街G座 461187,猎聘网,招聘中,959,1
1449,居家护理员,养老院456,西宁,8000-10000元/月,高中,3-5年,长期,基础护理、无传染病、安全防护、血压测量、有爱心、生活护理,绩效奖金、节日福利、培训机会、健康体检、住宿补贴,负责居家护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：不限；技能要求：翻身护理、按摩技能、耐心细心、医疗护理；学历要求：大专,2025-09-06,李霞,13091785277,zxie@example.com,重庆市淑珍市六枝特柯路O座 129897,51job,已暂停,612,27
1450,康复护理员,专业护理机构987,银川,6000-8000元/月,护理专业优先,10年以上,夜班,责任心强、医疗护理、耐心细心,五险一金、节日福利、交通补贴、餐补,需要康复护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：男；年龄要求：29岁以下；学历要求：初中；工作经验：1年以下；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：医疗护理、生活护理、血糖监测、责任心强,2025-09-03,徐秀芳,15241965090,junye@example.net,海南省秀兰县闵行昆明路o座 274662,智联招聘,已结束,771,44
1451,重症护理员,养老院668,大连,25000-30000元/月,护理专业优先,10年以上,临时,吸痰护理、鼻饲护理、责任心强、安全防护,意外保险、五险一金、绩效奖金、节日福利,为重症护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：高中；性别要求：男；工作经验：3-5年；技能要求：基础护理、血糖监测、伤口护理、无传染病、医疗护理、康复护理；年龄要求：44岁以下,2025-09-11,祁博,15893604035,juan55@example.net,西藏自治区武汉市门头沟通辽街T座 999808,拉勾网,已结束,495,22
1452,护理师,养老院266,广州,5000-6000元/月,本科,5-10年,短期,鼻饲护理、心理护理、血糖监测、康复护理、药物管理、吃苦耐劳、生活护理、体位护理,餐补、意外保险、带薪年假、绩效奖金、生日福利、晋升空间,为护理师岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,工作经验：10年以上；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：鼻饲护理、身体健康、有爱心、心理护理、翻身护理、血压测量、耐心细心、医疗护理；学历要求：护理专业优先；年龄要求：20岁以下；性别要求：不限,2025-09-04,陶帅,15074660069,fanwei@example.net,西藏自治区雪市永川昆明路w座 305219,51job,招聘中,841,11
1453,护理师,养老院927,天津,3000-4000元/月,不限,不限,短期,责任心强、血糖监测、身体健康、基础护理,住宿补贴、带薪年假、年终奖、健康体检、加班费、意外保险,需要护理师，负责照顾患者日常生活，协助医疗护理，提供专业服务。,其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：3-5年；技能要求：伤口护理、营养配餐、生活护理、体位护理、导尿护理、鼻饲护理、按摩技能,2025-08-26,李娟,18623330540,owu@example.org,江苏省琳市山亭萧路m座 481827,Boss直聘,已暂停,458,1
1454,养老护理员,养老服务公司321,昆明,2000-3000元/月,大专,不限,临时,无传染病、翻身护理、心理护理、沟通技巧、血糖监测、医疗护理、康复护理,意外保险、餐补、年终奖、绩效奖金,负责养老护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,性别要求：不限；年龄要求：46岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：5-10年；学历要求：本科；技能要求：无传染病、急救技能、按摩技能,2025-09-15,武峰,18886845237,lijin@example.org,安徽省宇县萧山汪路m座 531618,智联招聘,已暂停,446,47
1455,专业护理员,医疗科技公司334,南宁,15194元/月,初中,3-5年,全职,安全防护、营养配餐、医疗护理、翻身护理、康复护理、沟通技巧、身体健康、吃苦耐劳,五险一金、节日福利、意外保险、包吃包住、晋升空间,为专业护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：耐心细心、吃苦耐劳、血压测量；年龄要求：52岁以下,2025-09-09,蔡雷,15341625212,zxue@example.net,云南省林县六枝特宁德街c座 974055,51job,招聘中,485,29
1456,高级护理员,健康管理公司792,南京,2000-3000元/月,护理专业优先,1年以下,短期,无传染病、吃苦耐劳、导尿护理、医疗护理,餐补、住宿补贴、交通补贴、带薪年假、节日福利,为高级护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：37岁以下；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：3-5年；技能要求：体位护理、血压测量、沟通技巧、按摩技能、身体健康、医疗护理、责任心强、伤口护理；性别要求：男；学历要求：不限,2025-09-10,雷莉,13902696106,gangsong@example.org,四川省天津县永川呼和浩特路Y座 385935,Boss直聘,已结束,809,34
1457,重症护理员,护理站804,西安,25167元/月,初中,不限,短期,无传染病、沟通技巧、体位护理、按摩技能、血糖监测,加班费、餐补、晋升空间、绩效奖金,为重症护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：大专；年龄要求：33岁以下；工作经验：10年以上；技能要求：翻身护理、责任心强、按摩技能、无传染病、康复护理、急救技能、营养配餐、血压测量,2025-09-01,范强,13439849156,guochao@example.net,山西省成都市平山天津路x座 893307,51job,已结束,94,46
1458,病患护理员,康复中心856,昆明,10000-12000元/月,高中,5-10年,实习,按摩技能、吃苦耐劳、无传染病、药物管理、沟通技巧、康复护理、翻身护理,健康体检、五险一金、年终奖、意外保险、绩效奖金,为病患护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,学历要求：本科；工作经验：10年以上；性别要求：女,2025-09-11,王勇,15044405121,zoujie@example.com,山东省瑞县华龙西安路J座 467505,51job,已结束,73,21
1459,老年护理员,养老服务公司481,温州,4000-5000元/月,本科,5-10年,全职,耐心细心、翻身护理、康复护理,包吃包住、节日福利、晋升空间、带薪年假,需要老年护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,性别要求：不限；年龄要求：43岁以下；学历要求：大专；工作经验：1-3年；其他要求：身体健康，无传染病史，有爱心和责任心；技能要求：生活护理、有爱心、沟通技巧、体位护理、康复护理,2025-08-30,杨霞,13723699343,jie17@example.com,湖北省惠州县滨城台北街i座 524682,智联招聘,招聘中,948,24
1460,养老护理员,养老服务公司585,银川,6000-8000元/月,高中,1年以下,临时,导尿护理、按摩技能、血压测量、责任心强,节日福利、绩效奖金、住宿补贴、五险一金、加班费、生日福利,为养老护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,年龄要求：45岁以下；性别要求：女；工作经验：不限；技能要求：有爱心、药物管理、身体健康、体位护理、血糖监测、营养配餐、耐心细心,2025-09-02,杨小红,18543824639,bqin@example.net,陕西省福州县友好萧街I座 439686,Boss直聘,招聘中,675,46
1461,康复护理员,康复中心663,长沙,8000-10000元/月,初中,不限,短期,药物管理、基础护理、体位护理、康复护理、急救技能、伤口护理、鼻饲护理、按摩技能,交通补贴、五险一金、培训机会、健康体检、包吃包住,招聘康复护理员，工作地点在长沙，要求身体健康，有爱心，能吃苦耐劳。,学历要求：大专；其他要求：身体健康，无传染病史，有爱心和责任心；工作经验：5-10年；技能要求：急救技能、血压测量、基础护理、伤口护理、导尿护理、责任心强、无传染病、血糖监测,2025-08-29,李强,13287950967,luyan@example.org,河南省呼和浩特县友好袁路n座 793491,猎聘网,已结束,147,14
1462,医院护理员,专业护理机构275,石家庄,2000-3000元/月,中专,1-3年,长期,沟通技巧、安全防护、责任心强、药物管理、血压测量、有爱心,绩效奖金、交通补贴,招聘医院护理员，工作地点在石家庄，要求身体健康，有爱心，能吃苦耐劳。,其他要求：身体健康，无传染病史，有爱心和责任心；性别要求：男；学历要求：不限；工作经验：1年以下；年龄要求：29岁以下；技能要求：药物管理、吃苦耐劳、心理护理、医疗护理、安全防护,2025-08-27,关璐,14781256088,ganglai@example.net,福建省张家港市朝阳长春路p座 188593,拉勾网,招聘中,193,7
1463,医疗护理员,社区卫生服务中心833,海口,6000-8000元/月,高中,10年以上,全职,吸痰护理、导尿护理、药物管理、急救技能、无传染病、按摩技能、责任心强、安全防护,住宿补贴、晋升空间、节日福利、餐补、包吃包住、健康体检,为医疗护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,性别要求：不限；年龄要求：59岁以下；工作经验：不限；技能要求：有爱心、责任心强、血压测量、吃苦耐劳,2025-09-13,温亮,15698764857,ping63@example.org,西藏自治区桂花县江北王街a座 710040,拉勾网,招聘中,703,24
1464,医疗护理员,专业护理机构89,无锡,9068元/月,大专,不限,兼职,无传染病、翻身护理、耐心细心、心理护理、生活护理、康复护理、沟通技巧,晋升空间、加班费、培训机会,需要医疗护理员，负责照顾患者日常生活，协助医疗护理，提供专业服务。,年龄要求：48岁以下；工作经验：1年以下；技能要求：基础护理、康复护理、营养配餐、血压测量、沟通技巧、吸痰护理,2025-09-07,梁梅,13745584398,junchen@example.org,福建省南宁县兴山广州街M座 822102,Boss直聘,已暂停,80,24
1465,术后护理员,社区卫生服务中心553,常州,22020元/月,大专,不限,实习,沟通技巧、导尿护理、康复护理、血糖监测、翻身护理,绩效奖金、培训机会、交通补贴、年终奖、餐补,为术后护理员岗位，主要工作内容包括生活护理、医疗护理等，要求有相关经验。,其他要求：身体健康，无传染病史，有爱心和责任心；年龄要求：57岁以下；性别要求：女；学历要求：中专；技能要求：康复护理、体位护理、责任心强、安全防护、营养配餐、药物管理、按摩技能；工作经验：1年以下,2025-08-26,徐淑珍,18958266699,min77@example.com,安徽省太原县梁平张街t座 735765,Boss直聘,招聘中,45,45
1466,家庭护理员,护理站228,南宁,3000-4000元/月,高中,3-5年,夜班,营养配餐、医疗护理、血糖监测、鼻饲护理,带薪年假、意外保险、餐补、五险一金、住宿补贴,负责家庭护理员工作，为患者提供专业的护理服务，确保患者安全和舒适。,其他要求：身体健康，无传染病史，有爱心和责任心；学历要求：护理专业优先；技能要求：康复护理、有爱心、吸痰护理、体位护理、医疗护理、鼻饲护理、身体健康；年龄要求：54岁以下；工作经验：10年以上,2025-08-24,高辉,14513665499,taomao@example.net,陕西省郑州市东丽周街l座 157994,猎聘网,已结束,793,9
